year,state,cityname,population2010,bingedrinking,smokingrate,nophysicalactivity,obesityrate,sleepdeprivation
2014,OR,Eugene,156185,18.9,17.7,14.9,28.7,31.4
2014,OR,Gresham,105594,20.1,22.0,18.9,26.9,31.1
2014,OR,Hillsboro,91611,17.7,15.5,16.2,26.0,32.8
2014,OR,Medford,74907,19.2,22.6,20.3,29.7,33.1
2014,OR,Portland,583776,20.4,17.9,15.4,24.3,29.2
2014,OR,Salem,154637,17.6,19.0,18.5,32.6,31.8
2014,PA,Allentown,118032,15.4,24.3,32.3,36.6,42.3
2014,PA,Bethlehem,74982,17.0,21.2,26.2,33.6,38.7
2014,PA,Erie,101786,16.9,27.6,26.1,36.0,37.3
2014,PA,Philadelphia,1526006,17.5,25.5,29.0,33.9,44.3
2014,PA,Pittsburgh,305704,18.9,23.1,24.6,33.1,40.5
2014,PA,Reading,88082,12.9,28.0,37.1,41.7,41.3
2014,PA,Scranton,76089,16.5,25.2,27.3,32.1,39.6
2014,RI,Cranston,80387,18.8,18.1,24.0,25.5,38.7
2014,RI,Pawtucket,71148,16.5,22.3,30.3,30.3,42.2
2014,RI,Providence,178042,14.9,20.2,32.2,31.6,42.4
2014,RI,Warwick,82672,20.0,18.3,22.0,28.9,36.5
