Year,StateAbbr,CityName,Population2010,CityFIPS,Binge drinking among adults aged >=18 Years,Current smoking among adults aged >=18 Years,No leisure-time physical activity among adults aged >=18 Years,Obesity among adults aged >=18 Years,Sleeping less than 7 hours among adults aged >=18 Years
2014,MA,Quincy,92271,2555745,16.5,16.8,21.4,21.9,36.9
2014,MA,Somerville,75754,2562535,18.1,14.9,20.2,24.8,34.2
2014,MA,Springfield,153060,2567000,15.1,24.4,33.3,33.1,43.5
2014,MA,Worcester,181045,2582000,16.0,21.4,24.9,31.1,40.4
2014,MD,Baltimore,620961,2404000,13.9,23.2,26.3,35.6,44.4
2014,ME,Portland,66194,2360545,18.0,16.1,18.0,26.2,30.3
2014,MI,Ann Arbor,113934,2603000,18.7,13.1,16.8,26.4,31.0
2014,MI,Dearborn,98153,2621000,19.4,25.8,25.6,31.2,38.8
2014,MI,Detroit,713777,2622000,13.5,29.8,36.4,45.2,50.8
2014,MI,Farmington Hills,79740,2627440,19.8,14.2,18.1,26.4,35.6
2014,MI,Flint,102434,2629000,14.8,28.5,36.4,42.7,44.0
2014,MI,Grand Rapids,188040,2634000,18.9,20.5,27.0,35.1,35.8
2014,MI,Kalamazoo,74262,2642160,17.7,21.6,26.3,41.2,35.5
2014,MI,Lansing,114297,2646000,17.7,22.5,28.2,36.1,36.4
2014,MI,Livonia,96942,2649000,22.7,18.4,18.2,25.7,35.5
2014,MI,Rochester Hills,70995,2669035,21.0,14.1,17.3,24.7,34.1
2014,MI,Southfield,71739,2674900,16.5,17.6,23.6,36.7,43.5
2014,MI,Sterling Heights,129699,2676460,20.6,22.9,24.7,30.9,36.2
2014,MI,Troy,80980,2680700,19.9,13.3,17.6,23.2,34.2
2014,MI,Warren,134056,2684000,19.3,27.2,29.0,34.9,38.7
2014,MI,Westland,84094,2686000,19.8,24.0,24.6,31.0,40.1
2014,MI,Wyoming,72125,2688940,20.4,20.4,26.3,32.6,34.7
2014,MN,Bloomington,82893,2706616,21.1,15.5,17.5,23.1,29.0
2014,MN,Brooklyn Park,75781,2707966,18.4,17.5,21.3,25.4,32.4
2014,MN,Duluth,86265,2717000,21.2,22.0,21.5,30.1,31.1
2014,MN,Minneapolis,382578,2743000,19.1,17.4,20.6,26.7,30.7
2014,MN,Plymouth,70576,2751730,21.6,12.6,14.4,20.9,26.9
2014,MN,Rochester,106769,2754880,21.1,15.0,18.5,27.1,29.5
2014,MN,St. Paul,285068,2758000,18.0,19.7,22.6,29.6,31.2
2014,MO,Columbia,108500,2915670,15.6,18.3,21.3,29.2,30.0
2014,MO,Independence,116830,2935000,15.9,25.0,25.4,32.2,33.7
2014,MO,Kansas City,459787,2938000,14.7,22.3,25.7,34.7,35.6
2014,MO,Lee's Summit,91364,2941348,17.4,17.6,18.0,27.5,30.4
2014,MO,O'Fallon,79329,2954074,17.6,17.8,20.5,24.9,32.4
2014,MO,Springfield,159498,2970000,15.1,24.4,26.2,35.9,34.6
2014,MO,St. Joseph,76780,2964550,15.6,24.8,27.9,32.4,37.9
2014,MO,St. Louis,319294,2965000,14.9,24.9,27.6,37.0,39.0
2014,MS,Gulfport,67793,2829700,13.7,24.1,30.7,34.6,38.9
2014,MS,Jackson,173514,2836000,11.4,23.4,33.0,40.6,43.6
2014,MT,Billings,104170,3006550,19.6,21.6,20.3,27.6,30.0
2014,MT,Missoula,66788,3050200,20.1,18.3,17.1,25.5,29.4
2014,NC,Asheville,83393,3702140,14.9,19.0,20.1,26.4,30.3
2014,NC,Cary,135234,3710740,15.9,12.8,14.4,21.2,27.9
2014,NC,Charlotte,731424,3712000,14.7,16.8,20.5,27.8,34.0
2014,NC,Concord,79066,3714100,14.0,20.1,22.5,28.2,33.5
2014,NC,Durham,228330,3719000,13.2,17.0,22.8,31.3,33.5
2014,NC,Fayetteville,200564,3722920,13.3,21.0,24.1,34.6,39.9
2014,NC,Gastonia,71741,3725580,13.3,24.8,28.3,32.6,38.7
2014,NC,Greensboro,269666,3728000,13.6,19.8,22.7,32.8,35.0
2014,NC,Greenville,84554,3728080,12.4,20.4,24.6,32.0,35.7
2014,NC,High Point,104371,3731400,13.6,21.5,24.6,32.7,35.2
2014,NC,Jacksonville,70145,3734200,14.6,21.5,24.2,31.6,36.7
2014,NC,Raleigh,403892,3755000,14.5,16.7,18.6,27.4,31.7
2014,NC,Wilmington,106476,3774440,15.1,18.8,20.5,28.2,32.5
2014,NC,Winston-Salem,229617,3775000,12.7,20.5,24.8,34.8,36.3
2014,ND,Fargo,105549,3825700,23.0,17.7,18.9,31.7,29.0
2014,NE,Lincoln,258379,3128000,21.8,18.6,18.8,27.8,30.7
2014,NE,Omaha,408958,3137000,20.9,20.4,22.3,30.6,32.8
2014,NH,Manchester,109565,3345140,16.4,19.8,21.6,31.2,36.5
2014,NH,Nashua,86494,3350260,16.5,17.6,19.8,29.4,35.5
2014,NJ,Camden,77344,3410000,12.1,24.9,41.6,42.2,50.8
2014,NJ,Clifton,84136,3413690,18.8,16.5,23.3,25.9,38.6
2014,NJ,Elizabeth,124969,3421000,14.7,21.1,33.2,32.7,43.4
2014,NJ,Jersey City,247597,3436000,15.0,16.2,28.6,25.4,43.7
2014,NJ,Newark,277140,3451000,13.3,24.0,35.8,37.6,48.0
2014,NJ,Passaic,69781,3456550,14.8,21.6,37.3,35.6,43.6
2014,NJ,Paterson,146199,3457000,14.5,22.2,36.3,37.3,45.7
2014,NJ,Trenton,84913,3474000,14.1,27.0,34.8,39.3,45.3
2014,NJ,Union City,66455,3474630,16.0,18.0,36.0,31.4,43.2
2014,NM,Albuquerque,545852,3502000,14.5,18.8,20.4,25.5,32.8
2014,NM,Las Cruces,97618,3539380,15.7,17.9,21.1,28.8,32.2
2014,NM,Rio Rancho,87521,3563460,16.2,16.2,18.3,25.0,31.9
